SUPERKINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	SPECIES	DOMAIN	Organism	STRAIN	SEROVAR	SEQUENCING METHOD	SEQUENCING DEPTH	STRAININFO	Culture	SYMBIONT	TYPE	PHYLOGENY	SEQUENCING STATUS	PROJECT STATUS	PHENOTYPE	RELEVANCE	DISEASE	HABITAT	PH	TEMPERATURE	ISOLATION	COUNTRY	GC(%)	AVAILABILITY	GOLDSTAMP	GOLDSTAMP OLD	GREENGENES ID	GCAT ID	TAXON ID	ENTREZ PID	IMG OID	SIZE(kb)	ORFs	CHROMOSOMES	PLASMIDS	DATA	DATABASES	INSTITUTE	FUNDING	PUBLICATION	DATE	CONTACT NAME	CONTACT EMAIL
Bacteria	Proteobacteria	Enterobacteriales		Enterobacteriaceae	Klebsiella	Klebsiella oxytoca	BACTERIAL	Klebsiella oxytoca M5al	VJSK009							Genome	PROTEOBACTERIA-GAMMA	incomplete		Facultative, Nonmotile, Dinitrogen-fixing, Non-Pathogen, Prototrophic, Pathogen	Biotechnological, Medical, Human Pathogen	Spontaneous infectious spondylodiscitis	Intestinal microflora			Early 1950's from a 2-3 butanediol fermentation	USA		Public	Gi00304			001146_GCAT	290337	12627		6000					Washington Univ	Washington Univ	NIH-NIAID	 		Clifton S	sclifton@watson.wustl.edu
Bacteria	Proteobacteria	Enterobacteriales		Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	BACTERIAL	Klebsiella pneumoniae	Kp342							Genome	PROTEOBACTERIA-GAMMA	incomplete		Pathogen, Facultative, Nonmotile, Rod-shaped, Lactose fermenting	Medical, Animal Pathogen, Cattle Pathogen	Pneumonia, Urinary tract infection, Bacteremia	Host, Aquatic, Soil, Mouth microflora, Skin microflora, Intestinal microflora				USA		Public	Gi01252			001148_GCAT	573									TIGR		 			
Bacteria	Proteobacteria	Enterobacteriales		Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	BACTERIAL	Klebsiella pneumoniae								Genome	PROTEOBACTERIA-GAMMA	complete		Pathogen, Facultative, Nonmotile, Rod-shaped, Lactose fermenting	Medical, Animal Pathogen, Cattle Pathogen	Pneumonia, Urinary tract infection, Bacteremia	Host, Aquatic, Soil, Mouth microflora, Skin microflora, Intestinal microflora				USA	40	Proprietary	Gi00305			001149_GCAT	573								PathoGenome-TM	Genome Therapeutics		 			
Bacteria	Firmicutes	Lactobacillales		Lactobacillaceae	Lactobacillus	Lactobacillus helveticus	BACTERIAL	Lactobacillus helveticus	CNRZ32							Genome	FIRMICUTES	incomplete		Probiotic, Rod-shaped, Facultative, Nonmotile	Food industry, Biotechnological	None	Intestinal microflora				USA		Public	Gi00315			001150_GCAT	326425	13430		2300						Univ of Wisconsin, Utah State Univ		 		Steele J	http://www.wisc.edu/foodsci/faculty/steele/
Bacteria	Firmicutes	Lactobacillales		Lactobacillaceae	Lactobacillus	Lactobacillus helveticus	BACTERIAL	Lactobacillus helveticus	DPC 4571							Genome	FIRMICUTES	incomplete		Probiotic, Rod-shaped, Facultative, Nonmotile	Food industry, Biotechnological	None	Intestinal microflora				Ireland		Public	Gi01652			001151_GCAT	405566	17811								Teagasc		 			
Bacteria	Firmicutes	Lactobacillales		Lactobacillaceae	Lactobacillus	Lactobacillus reuteri	BACTERIAL	Lactobacillus reuteri	100-23		ABI	11x				Genome	FIRMICUTES	Draft	incomplete	Probiotic, Non-Pathogen, Rod-shaped, Facultative, Nonmotile	Food industry, Biotechnological	None	Host, Human intestinal microflora, Mammalian intestinal microflora, Birds intestinal microflora				USA	38	Public	Gi00762			001152_GCAT	349123	13431	638341112	2174	1972			NZ_AAPZ00000000	NCBI	Joint Genome Institute, Univ of Otago	DOE	 		Tannock G	gerald.tannock@stonebow.otago.ac.nz
Bacteria	Firmicutes	Lactobacillales		Lactobacillaceae	Lactobacillus	Lactobacillus rhamnosus	BACTERIAL	Lactobacillus rhamnosus	HN001							Genome	FIRMICUTES	incomplete		Probiotic, Non-Pathogen, Rod-shaped, Facultative, Nonmotile	Food industry, Biotechnological	None	Intestinal microflora				New Zealand		Public	Gi00316			001154_GCAT	47715	13434								New Zealand Dairy Board		 			
Bacteria	Firmicutes	Lactobacillales		Streptococcaceae	Lactococcus	Lactococcus garvieae	BACTERIAL	Lactococcus garvieae	ATCC 49156					ATCC 49156		Genome	FIRMICUTES	complete	incomplete	Pathogen, Facultative, Coccus-shaped	Medical, Human Pathogen, Fish Pathogen, Mammal Pathogen	Lactococcosis, Mastitis	Host				Japan		Public	Gi01892			001155_GCAT	420889	18705								Kitasato Univ		 			
Bacteria	Firmicutes	Lactobacillales		Streptococcaceae	Lactococcus	Lactococcus garvieae	BACTERIAL	Lactococcus garvieae	Lg2							Genome	FIRMICUTES	complete	incomplete	Pathogen, Facultative, Coccus-shaped	Medical, Human Pathogen, Fish Pathogen, Mammal Pathogen	Lactococcosis, Mastitis	Host				Japan		Public	Gi01893			001156_GCAT	420890	18707								Kitasato Univ		 			
Bacteria	Proteobacteria	Legionellales		Legionellaceae	Tatlockia	Tatlockia micdadei	BACTERIAL	Legionella micdadei								Genome	PROTEOBACTERIA-GAMMA	complete		Pathogen	Medical, Human Pathogen	Pneumonia	Aquatic				Germany		Public	Gi00825			001157_GCAT	451									IMB, Jena		 		Gloeckner G	gernot@imb-jena.de
Bacteria	Proteobacteria	Legionellales		Legionellaceae	Legionella	Legionella longbeachae	BACTERIAL	Legionella longbeachae								Genome	PROTEOBACTERIA-GAMMA	complete		Pathogen, Rod-shaped, Motile, Aerobe	Medical, Human Pathogen	Pneumonia, Legionellosis	Host, Aquatic, Soil				France		Public	Gi01014			001158_GCAT	450	16090								Institut Pasteur		 			
Bacteria	Proteobacteria	Legionellales		Legionellaceae	Legionella	Legionella anisa	BACTERIAL	Legionella anisa								Genome	PROTEOBACTERIA-GAMMA	complete		Non-Pathogen	Medical	None	Aquatic				France		Public	Gi01015			001159_GCAT	28082									Institut Pasteur		 			
Bacteria	Proteobacteria	Legionellales		Legionellaceae	Legionella	Legionella hackeliae	BACTERIAL	Legionella hackeliae	LLAP10							Genome	PROTEOBACTERIA-GAMMA	complete		Pathogen, Rod-shaped, Aerobe	Medical, Human Pathogen	Pneumonia, Respiratory infection	Host, Aquatic				Germany		Public	Gi00826			001160_GCAT	449	13436								IMB, Jena		 		Gloeckner G	gernot@imb-jena.de
Bacteria	Proteobacteria	Legionellales		Legionellaceae	Legionella	Legionella pneumophila	BACTERIAL	Legionella pneumophila	2300/99	1						Genome	PROTEOBACTERIA-GAMMA	incomplete		Pathogen, Rod-shaped, Motile, Aerobe	Medical, Human Pathogen	Legionnaire's disease	Host, Soil, Fresh water, Biofilm				Spain		Public	Gi01894			001162_GCAT	423212	18743								Valencia Univ		 			
Bacteria	Lentisphaerae	Lentisphaerales		unclassified	Lentisphaera	Lentisphaera araneosa	BACTERIAL	Lentisphaera araneosa	HTCC2155					HTCC2155		Genome	LENTISPHAERAE	Draft	incomplete	Sphere-shaped, Nonmotile, Nonsporulating, Aerobe, Chemoheterotroph	Evolutionary, Environmental, MMI	None	Marine, Coastal			Coastal Pacific Ocean near Newport Oregon at a depth of 10m	USA	48.3	Public	Gi00847			001163_GCAT	313628	13437	640963040	6021	5104			NZ_ABCK00000000	Oregon State Univ, JCVI	J Craig Venter Institute, Oregon State Univ	Moore Foundation	 		Giovannoni SJ	http://mcb.science.oregonstate.edu/giovannoni/people/people.htm
Bacteria	Spirochaetes	Spirochaetales		Leptospiraceae	Leptospira	Leptospira interrogans	BACTERIAL	Leptospira interrogans pomona		pomona						Genome	SPIROCHAETES	incomplete		Pathogen, Aerobe	Medical, Animal Pathogen	Leptospirosis	Host, Soil, Aquatic				USA		Public	Gi00848			001164_GCAT	44276			5000						Univ of Oklahoma		 		Roe B	http://cheminfo.chem.ou.edu/faculty/bar.html
Bacteria	Spirochaetes	Spirochaetales		Leptospiraceae	Leptospira	Leptospira biflexa	BACTERIAL	Leptospira biflexa	Patoc 1	Patoc				ATCC 23582		Genome	SPIROCHAETES	incomplete	incomplete	Pathogen, Aerobe, Nonsporulating, Motile	Medical, Animal Pathogen	Leptospirosis	Host, Soil, Aquatic				France		Public	Gi01016			001165_GCAT	456481	20133		5000						Institut Pasteur		 		Picardeau M	mpicard@pasteur.fr
Bacteria	Nitrospirae	Nitrospirales		Nitrospiraceae	Leptospirillum	Leptospirillum ferriphilum	BACTERIAL	Leptospirillum sp.	Group II UBA		ABI					Metagenome	NITROSPIRAE	incomplete	incomplete	Iron oxidizer, Acidophile, Pink-colored, Biofilm	Biotechnological	None	Aquatic			Richmond Mine, Iron Mountain CA from the Ultra Back A (UBA) site in June 2005	USA		Public	Gi00328			001166_GCAT	419542	18795		960					NCBI	Joint Genome Institute	DOE	 		Richardson P	microbes@cuba.jgi-psf.org
Bacteria	Proteobacteria	Burkholderiales		unclassified	Leptothrix	Leptothrix cholodnii	BACTERIAL	Leptothrix cholodnii	SP-6							Genome	PROTEOBACTERIA-BETA	incomplete	incomplete	Aerobe, Iron oxidizer, Heterotroph, Filament-shaped, Motile	Biotechnological, Bioremediation, Environmental	None	Soil, Aquatic			Water and flocculent from an artificial iron seep in Ithaca, NY	USA		Public	Gi01560			001167_GCAT	395495	20039								Joint Genome Institute	DOE	 		Richardson P	microbes@cuba.jgi-psf.org
Bacteria	Firmicutes	Lactobacillales		Leuconostocaceae	Leuconostoc	Leuconostoc citreum	BACTERIAL	Leuconostoc citreum	KM20							Genome	FIRMICUTES	incomplete		Psychrotrophic, Facultative, Antimicrobial activities, Nonsporulating	Biotechnological, Lactic acid production, Ethanol production, Acetate production, Food industry	None					Korea		Public	Gi00329			001168_GCAT	33964	13439		2000					GEM	KRIBB		 			
Bacteria	Firmicutes	Lactobacillales		Leuconostocaceae	Leuconostoc	Leuconostoc gasicomitatum	BACTERIAL	Leuconostoc gasicomitatum						LMG 18811		Genome	FIRMICUTES	complete	incomplete	Psychrotrophic, Facultative, Antimicrobial activities, Nonsporulating, Rod-shaped	Biotechnological, Lactic acid production, Ethanol production, Acetate production, Food industry	None		4.5	4, 15		Finland	37	Public	Gi01159			001169_GCAT	115778	15732		2000	1906				Univ of Helsinki	Univ of Helsinki		 		Paulin L	http://www.biocenter.helsinki.fi/bi/DNA/contact.htm
Bacteria	Cyanobacteria	Oscillatoriales		unclassified	Leptolyngbya	Leptolyngbya valderiana	BACTERIAL	Leptolyngbya valderiana	BDU 20041							Genome	CYANOBACTERIA	Draft	incomplete	Filament-shaped		None	Aquatic			Bay of Bengal, at Point Calimare	India	53.1	Public	Gi01982			002609_GCAT	322866	19525	640963043					NZ_AAZV00000000		NFMC		 		NFMC	office@nfmc.res.in
Bacteria	Cyanobacteria	Oscillatoriales		unclassified	Lyngbya	Lyngbya sp. PCC 8106	BACTERIAL	Lyngbya aestuarii	CCY9616					PCC8106		Genome	CYANOBACTERIA	Draft	incomplete		Environmental, MMI	None	Aquatic, Marine, Salt marsh			Intertidal zone in Mellum Germany	USA	41	Public	Gi00849			001170_GCAT	313612	13409	639857035	7036	6142			NZ_AAVU00000000	NCBI, JCVI	Netherlands Institute of Ecology, J Craig Venter Institute	Moore Foundation	 		Stal LJ	http://www.nioo.nl/PPAGES/lstal/
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria ivanovii	BACTERIAL	Listeria ivanovii	PAM55							Genome	FIRMICUTES	complete		Pathogen, Facultative, Parasite, Motile, Nonsporulating, Rod-shaped	Medical, Human Pathogen, Animal Pathogen	Abortion, Stillbirth	Host			Infected ewe	European Consortium		Public	Gi00331			001171_GCAT	1638	13441		3000					Institut Pasteur	Institut Pasteur, Univ of Wuerzburg, Univ de Leon, AGOWA		 		Glaser P	http://www.dlvlaw.com/equipeeng/Philippe_Glaser.html
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	H7858 (meat isolate)	4b	ABI					Genome	FIRMICUTES	Draft	incomplete	Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Intestinal microflora, Food		30 - 37	Hot dog during an outbreak of listeriosis that occurred in multiple states in the USA in 1998-1999	USA	38	Public	Gi00333			001172_GCAT	267410	10752	638341118	2972	3111			NZ_AADR00000000	NCBI	TIGR	USDA	 		Nelson KE	http://www.tigr.org/~kenelson/
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	F6854, frankfurter isolate	1/2a	ABI					Genome	FIRMICUTES	Draft	incomplete	Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen	Food poisoning	Soil, Aquatic, Intestinal microflora, Food		30 - 37		USA	37.8	Public	Gi00332			001173_GCAT	267409	10753	638341117	2953	2973			NZ_AADQ00000000	NCBI	TIGR	USDA	 		Nelson KE	http://www.tigr.org/~kenelson/
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria seeligeri	BACTERIAL	Listeria seeligeri								Genome	FIRMICUTES	complete		Non-Pathogen, Rod-shaped, Nonsporulating, Motile, Facultative	Medical	None					Germany	36	Public	Gi00801			001174_GCAT	1640	13442		2797					GenDB-Bielefeld Univ	Univ of Giessen, Univ of Wuerzburg, Qiagen, AGOWA	BMBF	 		Chakraborty T	Trinad.Chakraborty@mikrobio.med.uni-giessen.de
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	serotype 4a	4a						Genome	FIRMICUTES	incomplete		Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Aquatic, Intestinal microflora, Food				Germany		Public	Gi00802			001175_GCAT	1639			3000					GenDB-Bielefeld Univ	Univ of Giessen, Univ of Wuerzburg, AGOWA	BMBF	 		Chakraborty T	Trinad.Chakraborty@mikrobio.med.uni-giessen.de
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	10403S							Genome	FIRMICUTES	Draft	incomplete	Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Aquatic, Intestinal microflora, Food, Host			Mice	USA	37	Public	Gi01186			001176_GCAT	1639	17495	640963064	2866				NZ_AARZ00000000	NCBI, Broad Institute	Broad Institute	NIH-NIAID	 		MSC	msc@broad.mit.edu
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	F6900							Genome	FIRMICUTES	Draft	incomplete	Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Aquatic, Intestinal microflora, Food				USA		Public	Gi01187			001177_GCAT	1639	17321	640963061	3000	2564			NZ_AARU00000000		Broad Institute	NIH-NIAID	 		MSC	msc@broad.mit.edu
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	Finland 1988							Genome	FIRMICUTES	incomplete		Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Aquatic, Intestinal microflora, Food				USA		Public	Gi01188			001178_GCAT	1639	17319								Broad Institute	NIH-NIAID	 		MSC	msc@broad.mit.edu
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	FSL J1-194							Genome	FIRMICUTES	Draft	incomplete	Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Aquatic, Intestinal microflora, Food				USA	37.8	Public	Gi01190			001180_GCAT	1639	17299		3000				NZ_AARJ00000000		Broad Institute	NIH-NIAID	 		MSC	msc@broad.mit.edu
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	FSL J1-208							Genome	FIRMICUTES	Draft	incomplete	Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Aquatic, Intestinal microflora, Food				USA	37.7	Public	Gi01191			001181_GCAT	1639	17303		2300				NZ_AARL00000000		Broad Institute	NIH-NIAID	 		MSC	msc@broad.mit.edu
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	FSL J2-064							Genome	FIRMICUTES	Draft	incomplete	Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Aquatic, Intestinal microflora, Food		1 - 45		USA	37.9	Public	Gi01192			001182_GCAT	1639	17309		2900				NZ_AARO00000000		Broad Institute	NIH-NIAID	 		MSC	msc@broad.mit.edu
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	FSL J2-071							Genome	FIRMICUTES	Draft	incomplete	Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Aquatic, Intestinal microflora, Food				USA		Public	Gi01193			001183_GCAT	1639	17307		2900				NZ_AARN00000000		Broad Institute	NIH-NIAID	 		MSC	msc@broad.mit.edu
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	FSL N1-017							Genome	FIRMICUTES	Draft	incomplete	Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Aquatic, Intestinal microflora, Food		1 - 45		USA	37.8	Public	Gi01194			001184_GCAT	1639	17311	640963059	3100	2789			NZ_AARP00000000		Broad Institute	NIH-NIAID	 		MSC	msc@broad.mit.edu
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	J0161, FSL R2-499	1/2a				A503E, ILSI-35, LMB503		Genome	FIRMICUTES	Draft	incomplete	Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Aquatic, Intestinal microflora, Food			A deli in the United States in 2000 during an epidemic outbreak	USA	37	Public	Gi01195			001185_GCAT	1639	17493	640963062	3051				NZ_AARW00000000	NCBI, Broad Institute	Broad Institute	NIH-NIAID	 		MSC	msc@broad.mit.edu
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	FSL R2-503							Genome	FIRMICUTES	incomplete		Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Aquatic, Intestinal microflora, Food				USA		Public	Gi01196			001186_GCAT	1639	17315		3001				NZ_AARR00000000	NCBI, Broad Institute	Broad Institute	NIH-NIAID	 		MSC	msc@broad.mit.edu
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	FSL J1-175							Genome	FIRMICUTES	Draft	incomplete	Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Aquatic, Intestinal microflora, Food		30 - 37	Water	USA	37	Public	Gi02328			001187_GCAT	393118	17301		2902				NZ_AARK00000000	NCBI, Broad Institute	Broad Institute	NIH-NIAID	 		MSC	msc@broad.mit.edu
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	FSL R2-561							Genome	FIRMICUTES	incomplete		Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Intestinal microflora, Food, Aquatic				USA		Public	Gi01197			001188_GCAT	1639	17317								Broad Institute	NIH-NIAID	 		MSC	msc@broad.mit.edu
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	FSL F2-515							Genome	FIRMICUTES	Draft	incomplete	Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Intestinal microflora, Food, Aquatic				USA		Public	Gi01198			001189_GCAT	1639	17297		2586				NZ_AARI00000000	NCBI, Broad Institute	Broad Institute	NIH-NIAID	 		MSC	msc@broad.mit.edu
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	FSL J2-003							Genome	FIRMICUTES	Draft	incomplete	Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Intestinal microflora, Food, Aquatic		30 - 37		USA	37	Public	Gi01199			001190_GCAT	1639	17305		2878				NZ_AARM00000000	NCBI, Broad Institute	Broad Institute	NIH-NIAID	 		MSC	msc@broad.mit.edu
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	FSL N3-165							Genome	FIRMICUTES	Draft	incomplete	Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Intestinal microflora, Food, Aquatic		30 - 37		USA	37.8	Public	Gi01200			001191_GCAT	1639	17313	640963060	2886				NZ_AARQ00000000	NCBI, Broad Institute	Broad Institute	NIH-NIAID	 		MSC	msc@broad.mit.edu
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	Italy 1997							Genome	FIRMICUTES	incomplete		Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Intestinal microflora, Food, Aquatic				USA		Public	Gi01201			001192_GCAT	1639	17323								Broad Institute	NIH-NIAID	 		MSC	msc@broad.mit.edu
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	Aureli1997							Genome	FIRMICUTES	incomplete		Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Intestinal microflora, Food, Aquatic				USA		Public	Gi01653			001193_GCAT	1639									Broad Institute	NIH-NIAID	 		MSC	msc@broad.mit.edu
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	J2818							Genome	FIRMICUTES	Draft	incomplete	Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Intestinal microflora, Food, Aquatic		30 - 37		USA	37.8	Public	Gi01202			001194_GCAT	1639	17327	640963063	2971				NZ_AARX00000000	NCBI, Broad Institute	Broad Institute	NIH-NIAID	 		MSC	msc@broad.mit.edu
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	LO28							Genome	FIRMICUTES	Draft	incomplete	Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Intestinal microflora, Food, Aquatic		30 - 37		USA	37	Public	Gi01203			001195_GCAT	1639	17329		2910				NZ_AARY00000000	NCBI, Broad Institute	Broad Institute	NIH-NIAID	 		MSC	msc@broad.mit.edu
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	HPB2262	4b						Genome	FIRMICUTES	Draft	incomplete	Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen, Human Pathogen	Listeriosis, Food poisoning	Soil, Intestinal microflora, Food, Aquatic		30 - 37	Case of febrile gastrointestinal illness among students and staff who had eaten at one of two school cafeterias in Northern Italy in 1997	USA	37.8	Public	Gi01699			001196_GCAT	401650	17597	640963047	3006				NZ_AATL00000000	NCBI, Broad Institute	Broad Institute	NIH-NIAID	 		MSC	msc@broad.mit.edu
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria grayi	BACTERIAL	Listeria grayi murrayi	CLIP12515							Genome	FIRMICUTES	incomplete		Nitrate reducer, Non-Pathogen, Rod-shaped, Motile, Facultative	Biotechnological	None			37		France	42	Public	Gi00821			001198_GCAT	1641	13440		2600						Institut Pasteur, Univ of Wurzburg	BMBF	 		Kunst F	fkunst@pasteur.fr
Bacteria	Proteobacteria	Rhodobacterales		Rhodobacteraceae	Loktanella	Loktanella vestfoldensis	BACTERIAL	Loktanella vestfoldensis	SKA53		ABI					Genome	PROTEOBACTERIA-ALPHA	Draft	incomplete	Aerobe, Chemoheterotroph, Nonmotile, Rod-shaped	Environmental, MMI	None	Marine			Seawater taken at a depth of 2-5m from the North Atlantic Ocean	USA	60	Public	Gi00850			001199_GCAT	314232	13444	638341119	3065	3068			NZ_AAMS00000000	NCBI, JCVI	J Craig Venter Institute, Univ of Kalmar	Moore Foundation	 		Hagstrom A	http://halia.hik.se/start.jsp?page=members/ake%20hagstrom
Bacteria	Proteobacteria	Rhodospirillales		Rhodospirillaceae	Magnetospirillum	Magnetospirillum magnetotacticum	BACTERIAL	Magnetospirillum magnetotacticum	MS-1		ABI			ATCC 31632		Draft-Genome	PROTEOBACTERIA-ALPHA	Draft	complete	Iron reducer, Magnetite production, Spiral-shaped, Motile, Aerobe, Heterotroph, Mesophile	Biotechnological	None	Aquatic, Marine, Sediment			Microaerobic zones from freshwater sediments	USA	66.4	Public	Gi00344			001200_GCAT	272627	6	638341121	9211	10146			NZ_AAAP00000000	NCBI, Joint Genome Institute	Joint Genome Institute, CalTech	DOE	 		Richardson P	microbes@cuba.jgi-psf.org
